Vincent J. Della Pietra,9:0.08010442034959915
Stephen A. Della Pietra,8:0.07234382697537335
Hermann Ney,24:0.06777415335903662
Robert L. Mercer,8:0.059392869917602
Franz Josef Och,14:0.059144196300331714
Fredrick Jelinek,3:0.04530889195511895
John Cocke,3:0.04530889195511895
Peter E. Brown,3:0.04217479233546955
Peter F. Brown,7:0.04015959874960079
Philipp Koehn,23:0.034974151851534185
Paul S. Roossin,2:0.0345771050052215
Kishore Papineni,3:0.031234205892196627
Chris Callison-Burch,20:0.02958286296826734
Salim Roukos,3:0.029519459040936055
John D. Lafferty,3:0.02872410671252331
Wei-Jing Zhu,1:0.02797998655692232
Todd Ward,1:0.02797998655692232
Richard Zens,11:0.02635081845679024
Christoph Tillmann,7:0.025046498051461717
Robert. E Mercer,1:0.018614613686941776
Kevin Knight,16:0.01621300484413551
Kenneth W. Church,3:0.016165000058203587
William A. Gale,3:0.016165000058203587
David Chiang,8:0.013553840473977343
Stephan Vogel,11:0.013281450599962781
Christof Monz,11:0.013258755075565676
Paul S. Roossin ,1:0.01073178694989745
Chris Dyer,5:0.010310179936049416
Marcello Federico,4:0.009405470259388657
Daniel Marcu,7:0.009265996379462032
Alexandra Birch,3:0.009187621988237162
Brooke Cowan,2:0.008904062259071883
Ondrej Bojar,2:0.008818599815591658
Nicola Bertoldi,2:0.008686024516046822
Philip Resnik,9:0.008519659326573876
Miles Osborne,12:0.008444712907190009
Hieu Hoang,1:0.008365106021699195
Alexandra Constantin,1:0.008365106021699195
Evan Herbst,1:0.008365106021699195
Christine Moran,1:0.008365106021699195
Wade Shen,1:0.008365106021699195
Stanley F. Chen,2:0.007876911526103769
Kenji Yamada,5:0.007772905844588664
Shankar Kumar,6:0.007770593020145567
Jenifer C. Lai,1:0.007760593374225812
Thomas J. Watson,1:0.007760593374225812
P. V. deSouza,1:0.007760593374225812
Joshua Goodman,2:0.007510353746614319
Josh Schroeder,5:0.006373764056257713
Alon Lavie,5:0.006275436116225605
Alex Waibel,5:0.0061097273895900275
John S. White,2:0.006073087404822666
Theresa A. O'Connell,2:0.006073087404822666
I. Dan Melamed,9:0.006001429290057377
Dekai Wu,6:0.0058060547672121625
Sanjeev Khudanpur,6:0.005749607775631005
Min Zhang,6:0.0056422418360985264
Daniel Gildea,6:0.005593402872030299
William Byrne,5:0.00553874206070563
Haizhou Li,6:0.005413586512702568
Hiyan Alshawi,3:0.005369398971416532
Chris Quirk,5:0.005347334240195635
Ignacio Thayer,2:0.005331851725326981
Franz Och,4:0.0052269460928686525
Srinivas Bangalore,3:0.004922071944502139
Wolfgang Macherey,3:0.004886262909654472
Ido Dagan,6:0.004764402059687633
Nicola Ueffing,7:0.004693277174344871
Shona Douglas,2:0.0045794722211338415
Ye-Yi Wang,2:0.004438226034805457
Mona Diab,4:0.004343098457209614
Richard Sproat,4:0.004260309948918322
Noah A. Smith,4:0.0041611821132087725
Chin-Yew Lin,4:0.004057150960461922
Grzegorz Kondrak,6:0.004046052738542857
Josef van Genabith,2:0.004024427133119394
Andy Way,2:0.004024427133119394
Karolina Owczarzak,2:0.004024427133119394
Katrin Kirchhoff,5:0.0040067922905989845
Omar Zaidan,3:0.004004257917717237
George Foster,9:0.0039544477098006105
Thomas Emerson,2:0.003931778483830415
Anoop Sarkar,3:0.003923440500632348
Adam L. Bergert,1:0.003848308635043893
Chris Brockett,4:0.003738877663118367
Jakob Uszkoreit,1:0.003717576177141921
Radu Soricut,4:0.0037007094037171387
Yaser Al-Onaizan,2:0.003672467403730286
Thorsten Brants,2:0.0036722702213948864
Franz J. Och,2:0.003655397050295279
Satanjeev Banerjee,1:0.003649218940895852
Jian Su,3:0.0036457603670930587
Colin Cherry,5:0.0036397489770924386
Peng Xu,2:0.0036196000437575013
Lucia Specia,4:0.0036142391904164677
Michael Collins,4:0.003613360661745629
Michel Galley,5:0.0033386340534371775
Ashok C. Popat,1:0.0033099160598576254
Jeffrey Dean,1:0.0033099160598576254
Matt Post,3:0.0032689835835670563
Jason Eisner,5:0.0031240530044332614
Libin Shen,3:0.0030390302762866523
Arul Menezes,2:0.0029750485897083456
Regina Barzilay,4:0.00296627900254427
Pascale Fung,4:0.0029547580458127655
Daniel Wong,1:0.002791856283301268
Wei Wang,3:0.002768863710963297
Rada Mihalcea,5:0.0027573332850554058
Roland Kuhn,6:0.0027275090146306057
Reinhard Rapp,2:0.002685387634706296
Frank Smadja,2:0.0026457065326871603
Jeff A. Bilmes,1:0.0025674579461935883
Daniel Cer,3:0.002567311824106213
