Marc Verhagen,7:0.021127235687776507
James Pustejovsky,6:0.020147384646349558
Kenneth Ward Church,1:0.01682087184607223
Tomoko Ohta,9:0.0160743932317111
Ralph Grishman,13:0.015701627769583965
Inderjeet Mani,3:0.015502110787666829
Jin-Dong Kim,8:0.015243557096359142
Hwee Tou Ng,5:0.014621555671368965
Marc Moens,3:0.013226725949932459
Christopher Manning,5:0.01262409349391476
Sampo Pyysalo,7:0.012341555105181866
Eduard Hovy,7:0.012121518668407766
Robert Gaizauskas,4:0.01123397823868084
Salim Roukos,3:0.010189852337417826
Erik F. Tjong Kim Sang,2:0.010180280047743859
Andrew McCallum,4:0.010073837146681334
Jun'ichi Tsujii,7:0.010044541636010885
Vincent Ng,5:0.010008478809305239
Dan Roth,5:0.009986261174778053
Adwait Ratnaparkhi,2:0.009755248422775259
Claire Cardie,4:0.009585792232531407
Xiaoqiang Luo,3:0.009448505561668848
Chong Min Lee,1:0.009184939762100486
Ben Wellner,1:0.009184939762100486
Trond  Grenager,2:0.008580878099762592
Hongyan Jing,3:0.008337431989549447
Walter Daelemans,5:0.008337327962142052
Razvan Bunescu,3:0.008284447228168387
Yoram Singer,2:0.008189246992055508
Lance Ramshaw,4:0.008145128586336585
Ellen Riloff,6:0.007848019924067355
Jenny Rose Finkel,1:0.00780710635881337
Jun’ichi Tsujii,4:0.007774682230365993
Penelope Sibun,2:0.007759262355711277
Dan Klein,5:0.007336132196472245
Dan Jurafsky,5:0.00721310833818668
Frank Schilder,2:0.007104000358520891
Jan Pedersen,1:0.007041106970928999
Doug Cutting,1:0.007041106970928999
Julian Kupiec,1:0.007041106970928999
Wen-tau Yih,2:0.006933285880938747
Nathanael Chambers,5:0.006869618456897482
Wee Meng Soon,2:0.006631834179997556
Nanda Kambhatla,2:0.0064334159714261
Fien De Meulder,1:0.006347530097089674
Nigel Collier,3:0.006291053801869399
Raymond Mooney,3:0.006254762370554941
Christopher D. Manning,4:0.00622459826698831
Deepak Ravichandran,3:0.006176066837424698
Hai Leong Chieu,2:0.0060529523683144106
Abe Ittycheriah,2:0.00599922631936854
Mark Steedman,1:0.0058765674460209355
Daniel Chung Yong Lim,1:0.005660504399462635
Marc Light,2:0.005627434812045341
Jian Su,4:0.0055246538526539804
GuoDong Zhou,4:0.0055246538526539804
Satoshi Sekine,4:0.0054200070137744895
Harry Bunt,1:0.0052188863698512085
Mark Hepple,1:0.005081767878714499
Graham Katz,1:0.005081767878714499
Martha Palmer,2:0.005074541080626415
Andrei Mikheev,2:0.005025726329121363
Wei Li,1:0.005012429920334793
Jeffrey C. Reynar,1:0.004778155801956956
Michael Collins,1:0.004774762927505578
Yoshinobu Kano,1:0.004718278218887244
George Wilson,1:0.004702567947740229
K. Bretonnel Cohen,3:0.004626154894574665
Robert Knippen,3:0.004592211213732772
Thorsten Brants,2:0.004544750169402378
Silviu Cucerzan,3:0.00454396000349964
Radu Florian,3:0.004473253269415479
Ozlem Uzuner,2:0.004450324108220845
Roser Morante,3:0.00427213944765242
Claire Grover,1:0.00414700171631018
Patrick Pantel,3:0.00407136226655222
Jie Zhang,3:0.0040567242517485095
Xin Ying Qiu,1:0.0040472886474683615
Padmini Srinivasan,1:0.0040472886474683615
Mitch Marcus,1:0.003983778703056863
Andrea Setzer,1:0.0039001465546890223
Beth M. Sundheim,2:0.003865189849426791
Kiyoshi Sudo,3:0.0038506371220637797
Alfio Gliozzo,3:0.0038214131706744356
Mark Liberman,2:0.0037651509318244705
David Israel,2:0.0037371964935233757
Mabry Tyson,2:0.0037371964935233757
John Bear,2:0.0037371964935233757
Jerry R. Hobbs,2:0.0037371964935233757
John Hale,1:0.0036695877321664843
Niyu Ge,1:0.0036695877321664843
Eugene Charniak,1:0.0036695877321664843
Chikashi Nobata,2:0.0036632360537429557
Elaine Rich,1:0.003632553257425331
Susann Luperfoy,1:0.003632553257425331
Ruslan Mitkov,1:0.003588070738366738
John Sterling,3:0.0035285868492664334
Eric Brill,1:0.0035249505381292085
Shubin Zhao,2:0.003515779948800208
Stephen Soderland,2:0.003490578338362237
Ted Briscoe,2:0.003424334822097157
Huy Nguyen,2:0.00342399606230273
Kristina Toutanova,1:0.0034144840645499307
Claudio Giuliano,2:0.0033928508311695162
Yuji Matsumoto,4:0.003353519820320828
Lorraine Tanabe,2:0.00333801815233269
Marti A. Hearst,2:0.003321431708424677
Robert Bossy,2:0.003305064633017119
Lawrence Hunter,3:0.0032635701970934127
Mark Steedmant,1:0.0032031567876013426
Tapio Pahikkala,2:0.0031900632713250257
Filip Ginter,2:0.0031900632713250257
Tapio Salakoski,2:0.0031900632713250257
Jari Björne,2:0.0031900632713250257
Antti Airola,2:0.0031900632713250257
Roman Yangarber,3:0.0031638613629509905
Daniel Jurafsky,2:0.003159165327639723
Kam-Fai Wong,1:0.0031028827949512476
Guihong Cao,1:0.0031028827949512476
Chunfa Yuan,1:0.0031028827949512476
Wenjie Li,1:0.0031028827949512476
Mark Mandel,1:0.0030493185647369812
Scott Winters,1:0.0030493185647369812
Ryan McDonald,1:0.0030493185647369812
Andrew Schein,1:0.0030493185647369812
Pete White,1:0.0030493185647369812
Lyle Ungar,1:0.0030493185647369812
Seth Kulick,1:0.0030493185647369812
Ann Bies,1:0.0030493185647369812
Ronald Rosenfeld,1:0.0030215432779002963
Raymond Lau,1:0.0030215432779002963
ChengXiang Zhai,1:0.003019446141571378
Toshihisa Takagi,3:0.003009519974239134
Chin-Yew Lin,2:0.0030088669014214746
György Szarvas,2:0.0029583290831098814
Carlo Strapparava,2:0.0029545129230574923
M. E. Califf,1:0.0029380061483828285
Raymond J. Mooney,1:0.0029380061483828285
R. Sauri,2:0.0029229053043157644
Ralph Weischedel,2:0.0029225625211814644
Pierre Nugues,2:0.0029120304221643962
Richard Johansson,2:0.0029120304221643962
Anders Berglund,2:0.0029120304221643962
Stephanie Strassel,2:0.002904716960517113
Mark Przybocki,2:0.002904716960517113
Marius Paşca,1:0.0028965851052303888
Eugene Agichtein,2:0.002789677996352444
Andrew Borthwick,2:0.002789677996352444
Nianwen Xue,2:0.0027848653484500003
Sameer Pradhan,2:0.0027848653484500003
Megumi Kameyalna,1:0.0027099603537401977
Douglas Appelt,1:0.0027099603537401977
Peter Berck,1:0.002630569563942041
Steven Gillis,1:0.002630569563942041
Jakob Zavrel,1:0.002630569563942041
Roxana Girju,2:0.0026004896244297563
Aron Culotta,2:0.002598245661542109
Mihai Surdeanu,3:0.0025904814715172883
David D. Palmer,1:0.0025859250058219074
Eric V. Siegel,2:0.0025844971007417863
Yue Wang,2:0.002569299510330846
Oren Etzioni,2:0.002560604631328344
W. John Wilbur,1:0.002521761959327449
Fuchun Peng,1:0.002463161564804433
Mike Mintz,1:0.0024357623701101267
Steven Bills,1:0.0024357623701101267
Rion Snow,1:0.0024357623701101267
Michael Thelen,1:0.0023955188764608584
Michael McCor,1:0.0023746223939224956
Shalom Lappin,1:0.0023746223939224956
Michael Strube,2:0.0023708427996371826
David Yarowsky,2:0.002360669910757872
Nandakishore Kambhatla,1:0.0023382056701809067
N Nicolov,1:0.0023382056701809067
Abraham Ittycheriah,1:0.0023382056701809067
Hany Hassan,1:0.0023382056701809067
Yuka Tateisi,1:0.002331718782455969
A. Yakushiji,1:0.002331718782455969
Ngan Nguyen,1:0.0023092867151271665
Heng Ji,2:0.002306927699431776
John P. Pestian,1:0.002293673420879723
Wlodzislaw Duch,1:0.002293673420879723
Pawel Matykiewicz,1:0.002293673420879723
Neil Johnson,1:0.002293673420879723
DJ Hovermale,1:0.002293673420879723
Chris Brew,1:0.002293673420879723
Michael Fleischman,2:0.00228756476640235
Shipra Dingare,1:0.0022767606274887854
Malvina Nissim,1:0.0022767606274887854
Jenny Finkel,1:0.0022767606274887854
Gail Sinclair,1:0.0022767606274887854
Halil Kilicoglu,2:0.002250138148019599
Tawanda Sibanda,1:0.0022251620541104225
Megumi Kameyama,2:0.0021462470586343547
Marco Pennacchiotti,1:0.002112107667843357
Richárd Farkas,1:0.0020968154237602115
Veronika Vincze,1:0.0020968154237602115
János Csirik,1:0.0020968154237602115
Theresa Wilson,1:0.0020896930059201495
Janyce Wiebe,1:0.0020896930059201495
Simone Teufel,2:0.0020878092258039965
Marcelo Fiszman,2:0.002084805046862694
Dan Shen,2:0.002063647143215122
Chew Lim Tan,2:0.002063647143215122
Mark Stevenson,2:0.0020438049946896386
L. Romano,1:0.0020281184318086997
Alberto Lavelli,1:0.0020281184318086997
Norihiro Ogata,1:0.002027796841756559
Yuka Tateishi,1:0.002027796841756559
Hisao Imai,1:0.002027796841756559
Tateshi Sekimizu,1:0.002027796841756559
Katsutoshi Ibushi,1:0.002027796841756559
Hyun Seok Park,1:0.002027796841756559
Mitchell Marcus,1:0.0020252225158894337
Christopher Habel,1:0.0020222324798063926
Kazuaki Maeda,1:0.002007376955225082
Zhiyi Song,1:0.002007376955225082
Kay Peterson,1:0.002007376955225082
Aria Haghighi,2:0.0020006409561591464
Roser Saurí,1:0.0019977570944797064
Min Zhang,1:0.0019930771085333874
Serguei Pakhomov,1:0.001992665982382549
Doug Beeferman,2:0.0019695854623985884
Siew Mei Wu,1:0.0019367691230569978
