Chin-Yew Lin,5:0.057096050021672326
Eduard Hovy,6:0.05314119972786897
Robert Dale,11:0.019850787956278284
Carl J. Pollard,2:0.01949098782597016
Lewis G. Creary,1:0.017544666303201895
Stuart M. Shieber,5:0.012626859634840056
Ehud Reiter,8:0.011979742735613978
Jon Oberlander,5:0.011455047328992435
Chris Mellish,4:0.01097720134439217
Johanna D. Moore,5:0.009680327881128225
Ronald M. Kaplan,2:0.009618229193269327
Alistair Knott,2:0.009609596605321541
Yves Schabes,4:0.00958948254193183
Martin Kay,1:0.009018477684904394
Regina Barzilay,7:0.00864281020562417
Adam Kilgarriff,3:0.007750333565180882
Kathleen McKeown,5:0.007647257662773904
James F. Allen,2:0.0072174996157037645
D. Giampicollo,1:0.00702859008343767
Bogdan Sacaleanu,1:0.00702859008343767
Petya Osenova,1:0.00702859008343767
Richard Sutcliffe,1:0.00702859008343767
Maarten de Rijke,1:0.00702859008343767
Christelle Ayache,1:0.00702859008343767
Bernardo Magnini,1:0.00702859008343767
L. Aunimo,1:0.00702859008343767
Diana Santos,1:0.00702859008343767
Anselmo Peñas,1:0.00702859008343767
Therese Firmin,2:0.006978938772256755
Mirella Lapata,6:0.006513828391428295
Sanda Harabagiu,5:0.006507408035971199
Donia Scott,6:0.006420531135224988
Joan Bresnan,1:0.0062880920636066776
Dan Moldovan,4:0.00605009065654761
Daniel Marcu,4:0.005695277022137257
Barbara Di Eugenio,4:0.005522679616614582
Kathleen R. McKeown,5:0.005461895429904766
lnderjeet Mani,1:0.005393186680374333
Dragomir R. Radev,6:0.005372461127637064
Anja Belz,7:0.005326541644315643
Donna K. Byron,2:0.00527016576905773
Eric Fosler-Lussier,2:0.00527016576905773
Albert Gatt,7:0.005009392598772461
William C Mann,3:0.004964287263009272
Cecile L. Paris,3:0.004933262816101098
Mick O'Donnell,1:0.004924667607427757
Ani Nenkova,2:0.004721887546612643
Mick O'Donnel,1:0.004684928997893783
Kevin Knight,4:0.0045525172449823485
Richard Power,6:0.004421201230247395
Ryan Green,1:0.004320393034083875
I. Dan Melamed,1:0.004320393034083875
Joseph P. Turian,1:0.004320393034083875
James Shaw,3:0.004224175903829899
Johan Bos,4:0.004085714490452711
Karen Kukich,2:0.00404929983128181
Ann Copestake,2:0.00397233493043213
Robert T. Kasper,3:0.003915813171629916
Diane J. Litman,1:0.003813042075434162
Sebastiaan van Erk,2:0.0037775761633365287
Emiel Krahmer,2:0.0037775761633365287
André Verleg,2:0.0037775761633365287
Lillian Lee,3:0.0036674813831804667
Ted Briscoe,2:0.003655479934732395
