Diane J. Litman,6:0.04597172387712073
Julia Hirschberg,4:0.031247421131747864
Marilyn A. Walker,6:0.03106828257871015
James F. Allen,8:0.030210474408395506
Elizabeth Shriberg,4:0.028309482717345232
Gabriel Skantze,3:0.025403478099182492
Johanna D. Moore,4:0.02474129998497586
David Schlangen,2:0.02355954694045869
Rebecca J. Passonneau,2:0.020772748267035287
Daniel Jurafsky,2:0.018905542213861426
Barbara Grosz,1:0.01618781845942603
Antoine Raux,3:0.01616072357375775
Barbara Di Eugenio,2:0.015570866253866018
Alicia Abella,1:0.015406274492672895
Candace A. Kamm,1:0.015406274492672895
Maxine Eskenazi,2:0.013966948724136454
Amanda Stent,4:0.013120338591948368
Hiroaki Kitano,1:0.01287571878477137
Carol Van Ess-Dykemat,1:0.01287571878477137
Rachel Martin ,1:0.012177770045107315
Andreas  Stolcke,1:0.012177770045107315
Rebecca Bates ,1:0.012177770045107315
Paul Taylor,1:0.012177770045107315
Noah Coccaro ,1:0.012177770045107315
Klaus Ries,1:0.012177770045107315
Marie Meteer ,1:0.012177770045107315
Carol Van Ess-Dykema,1:0.012177770045107315
Sandra Carberry,2:0.01039798578208224
Christine H. Nakatani,1:0.009582510079411306
Harry Bunt,3:0.008790347333302114
K. Vijay-Shanker,1:0.008538764975758499
Ken Samuel,1:0.008538764975758499
C. Raymond Perrault,1:0.008502669712846082
Wei Xu,1:0.008433201614480482
Alexander I. Rudnicky,1:0.008433201614480482
David Traum,4:0.008341371855091833
Dan Bohus,3:0.008294764740399863
Massimo Paolucci,1:0.007944420593315541
Diane Litman,3:0.007837792780951355
Jean Carletta,2:0.0076921271995123025
Pamela W. Jordan,1:0.007626445660550477
Richmond H. Thomason,1:0.007626445660550477
Megan Moser,1:0.00737953662502464
Oliver Lemon,2:0.0072213321154663964
 Jennifer Chu-Carroll,3:0.007203846681544859
Marilyn Walker,2:0.006762210397484832
Lars Bo Larsen,1:0.006757390071588874
Traci Curl,1:0.006727772168754113
Barbara Fox,1:0.006727772168754113
Satinder Singh,2:0.0066792913569135425
Stanley Peters,2:0.006496480706261762
Elizabeth A. Hinkelman,1:0.006349907970729593
Andrei Popescu-Belis,2:0.00626854397955812
Srinivas Bangalore,2:0.0060010624992962135
Phil Stenton,1:0.00594862815690079
Steve Whittaker,1:0.00594862815690079
Anne H. Anderson,1:0.005896198379237662
Amy Isard,1:0.005896198379237662
Stephen Isard,1:0.005896198379237662
Gwyneth Doherty-Sneddon,1:0.005896198379237662
Jacqueline C. Kowtko,1:0.005896198379237662
Owen Rambow,2:0.005881644554102649
Raj Dhillon,1:0.005809993377831557
Hannah Carvey,1:0.005809993377831557
Sonali Bhagat,1:0.005809993377831557
Jeremy Ang,1:0.005809993377831557
Damaris Ayuso,1:0.00580818047237018
Madeleine Bates,1:0.00580818047237018
Joyce Conner,1:0.005552140094264702
Raymonde Guindon,1:0.005552140094264702
Blaise Thomson,1:0.005211777076021354
Jost Schatzmann,1:0.005211777076021354
Karl Weilhammer,1:0.005211777076021354
Steve Young,1:0.005211777076021354
Hui Ye,1:0.005211777076021354
Jason Williams,2:0.005115466805749725
Rebecca Passonneau,2:0.00506827777694277
Jeffrey C. Reynar,1:0.00494041930813954
Jan Alexandersson,2:0.004882037369253473
John Dowding,2:0.004839437173276638
Bradford W. Miller,1:0.004671832385657417
Eric K. Ringger,1:0.004671832385657417
Teresa Sikorski,1:0.004671832385657417
Alexis Battle,1:0.004635385207075818
Alexander Gruenstein,1:0.004635385207075818
J. M. Gawron,2:0.004621158919566602
Lenhart K. Schubert,2:0.004607124350755781
Volha Petukhova,2:0.004592767846211439
Alexander Clark,1:0.00447261515928348
David DeVault,2:0.004406235708269377
Kenji Sagae,2:0.004406235708269377
Walker, Marilyn,1:0.004235454369019388
Whittaker, Steve,1:0.004235454369019388
Scott Silliman,1:0.004225666054793441
Mary Swift,1:0.00421953279666749
E. Campana,1:0.00421953279666749
Lucian Galescu,1:0.00421953279666749
Scott Stoness,1:0.00421953279666749
George Ferguson,1:0.00421953279666749
Nathan Chambers,1:0.00421953279666749
James Allen,1:0.00421953279666749
Gregorynn Aist,1:0.00421953279666749
Marti A. Hearst,1:0.0041073912590116795
Len Schubert,1:0.004056878839312419
Claudia Soria,2:0.0039870498169866705
Stefan Wermter,1:0.003929019668545424
Matthias Lochel,1:0.003929019668545424
Eric Bilange,1:0.003806685866730321
Katharina Morik ,1:0.0037340171541421774
Donna Byron,1:0.0036941912230444547
David R. Traum,1:0.0036501797383409014
Michel Galley,1:0.0035939471256522483
Kathleen McKeown,1:0.0035939471256522483
Mikio Nakano,1:0.003536639604301158
Kiyoaki Aikawa,1:0.003536639604301158
Ryuichiro Higashinaka,1:0.003536639604301158
John Aberdeen,1:0.0034457922865247952
Lynette Hirschman,1:0.0034457922865247952
Yukiko Nakano,1:0.003385614982095027
Gabe Reinstein,1:0.003385614982095027
Justine Cassell,1:0.003385614982095027
Tom Stocky,1:0.003385614982095027
Michael S. Kearns,1:0.0033628732459535064
Karen E. Lochbaum,1:0.0033579205183260166
Thomas Harris,1:0.003352579538811537
Alexander Rudnicky,1:0.003352579538811537
Michael Kearns ,1:0.0033164181109600365
Yukiko Yamaguchi,1:0.0031705148344183913
Shigeki Matsubara,1:0.0031705148344183913
Nobuo Kawaguchi,1:0.0031705148344183913
Hiroya Murao,1:0.0031705148344183913
Yasuyoshi Inagaki,1:0.0031705148344183913
Elisabeth Maier,1:0.003086108548978832
Norbert Reithinger,1:0.003086108548978832
John Bear,1:0.002992840456405288
Elizabeth Shribergf,1:0.002992840456405288
Michael K. Brown,1:0.0028970020414751533
Michael White,1:0.0028613572755053288
Roberta Catizone,1:0.0028613572755053288
Mary E. Foster,1:0.0028613572755053288
Andrea Setzer,1:0.0028613572755053288
Angeliki Metallinou,1:0.0028093953757033626
John Doweling,1:0.0027745622026952525
Robert Moore,1:0.0027745622026952525
Elizabeth Owen Bratt,1:0.0027745622026952525
Julie E. Boland,1:0.002755643352595163
Noah A. Smith,1:0.002605033343610298
Pedro Concejero Cerezo,1:0.002605033343610298
Ik-Hwan Lee,1:0.002605033343610298
Anton Leuski,1:0.002605033343610298
Minhaeng Lee,1:0.002605033343610298
Samson de Jager,1:0.002605033343610298
Alberto J. Sánchez García,1:0.002605033343610298
Nick Wright,1:0.002605033343610298
David Bamman,1:0.002605033343610298
Juan José Rodríguez Soler,1:0.002605033343610298
Eduard Hovy,1:0.002605033343610298
Daniel Tapias Merino,1:0.002605033343610298
Ted Underwood,1:0.002605033343610298
Alistair Knott,1:0.002605033343610298
Rahul Bhagat,1:0.002605033343610298
Ewan Klein,1:0.0025859469083905785
Tetsushi Oka,1:0.0025859469083905785
Johan Bos,1:0.0025859469083905785
Ronnie W. Smith,1:0.0025695463175487428
Steven A. Gordon,1:0.0025695463175487428
Joel Tetreault,1:0.002552190695806051
Nicholas Roy,1:0.0025189488444921403
Joelle Pineau,1:0.0025189488444921403
Sebastian Thrun,1:0.0025189488444921403
Giuseppe Di Fabbrizio,1:0.0024320523695411703
Chih-yu Chao,1:0.0023315324835115987
Stephanie Seneff,1:0.0023315324835115987
Chao Wang,1:0.0023315324835115987
Jun Hu,1:0.002312634424347607
Suhrid Balakrishnan,1:0.002306071430046362
Verena Rieser,1:0.002241928188293095
J. Schehl,1:0.002241928188293095
Nate Blaylock,1:0.002241928188293095
Ivana Kruijff-Korbayová,1:0.002241928188293095
Tilman Becker,1:0.002241928188293095
Peter Poller,1:0.002241928188293095
C. Gerstenberger,1:0.002241928188293095
Michael Kaisser,1:0.002241928188293095
Gwen Christian,1:0.0022084073367299424
Shimei Pan,1:0.0022041618166656067
Deepak Ramachandran,1:0.002193774849621299
Stefan Krawczyk,1:0.002193774849621299
Neville Mehta,1:0.002193774849621299
Rakesh Gupta,1:0.002193774849621299
Vito Pirrelli,1:0.00219112099671203
Bob Carpenter,1:0.0021568560582983123
Massimo Poesio,1:0.002139207326547816
Colin Matheson,1:0.002139207326547816
Eric Horvitz,1:0.0021327898258849632
Shinsuke Higuchi,1:0.0020289569100214694
Kenji Araki,1:0.0020289569100214694
Rafal Rzepka,1:0.0020289569100214694
Julia Hirschberg ,1:0.001969183974185268
Marc Swerts,1:0.001969183974185268
Philip R. Cohen,1:0.001962148340513211
Nancy Green,1:0.001957114725115892
Yan Qu,1:0.001957114725115892
Christine Nakatani,1:0.001883145467258278
Heather Pon-Barry,1:0.0018610954991859444
Brady Clark,1:0.0018610954991859444
Matt Ginzton,1:0.0018610954991859444
John Fry,1:0.0018610954991859444
Robert C. Moore,1:0.0018465967168713497
Y. Gorfu,1:0.0018465967168713497
Harry Bratt,1:0.0018465967168713497
A. Cheyer,1:0.0018465967168713497
Anna Hjalmarsson,1:0.0018439311587238004
Kristiina Jokinen,1:0.001827899528710123
Elisabeth Ahlsén,1:0.001827899528710123
Patrizia Paggio,1:0.001827899528710123
Costanza Navarretta,1:0.001827899528710123
Jens Allwood,1:0.001827899528710123
Harr Chen,1:0.0018276350424756204
S.R.K Branavan,1:0.0018276350424756204
Luke Zettlemoyer,1:0.0018276350424756204
Regina Barzilay,1:0.0018276350424756204
Laurent Romary,1:0.0017959288202746408
Jae-Woong Choe,1:0.0017959288202746408
Kiyong Lee,1:0.0017959288202746408
Alex Chengyu Fang,1:0.0017959288202746408
Koiti Hasida,1:0.0017959288202746408
David Reitter,1:0.001790897106085201
