Michael Collins,12:0.03763547615734017
Ronald M. Kaplan,3:0.03449448889326597
Fernando Pereira,10:0.03122571190548371
Martin Kay,2:0.030933659765777086
Yves Schabes,8:0.024563679686058472
Salim Roukos,8:0.024486106310494513
Ryan McDonald,10:0.021970632832143244
Mark Johnson,15:0.019888099903236343
Joakim Nivre,11:0.017256129391080212
Donald Hindle,5:0.016164832169434304
David M. Magerman,5:0.015976542500478603
Mats Rooth,6:0.015379374369622391
Fred Jelinek,4:0.014526516709920641
Ezra Black,4:0.013649708185082432
Dan Klein,8:0.012340934269196765
Andrew Haas,2:0.011326920522172684
Adwait Ratnaparkhi,3:0.011279962913976047
Aravjnd K. Joshi,1:0.011120375353407767
Eugene Charniak,6:0.010117698859734273
Robert Mercer,2:0.009635132063940373
Michael John Collins,1:0.00907277720851363
Jens Nilsson,4:0.008773756909706056
Johan Hall,4:0.008773756909706056
Stephen Clark,8:0.008537436710454519
Jason Eisner,8:0.008477101287369388
Giorgio Satta,7:0.00820551543600951
Jason M. Eisner,1:0.0081681832528603
Lance Ramshaw,4:0.007758111142951708
David Stallard,3:0.007551214097298895
John Carroll,7:0.007503424846990638
Stefan Riezler,6:0.00718859967103479
David Magerman,2:0.007119538487466064
Stephanie Seneff,2:0.007063509139066046
Stuart M. Shieber,3:0.006909370448687012
Michael Collins and Terry Koo,1:0.006880227518721617
Daniel Gildea,3:0.006760915501514736
John Lafferty,2:0.00659523044138874
Robert Ingria,2:0.0063679494797607575
Scott Miller,3:0.006343402732110133
Slav Petrov,4:0.006324048974726545
Julia Hockenmaier,7:0.006314641389881725
Robert Bobrow,2:0.006310793874855286
Daniel Jurafsky,3:0.006282476707938736
Mitchell P. Marcus,2:0.006266025894910637
Ted Briscoe,5:0.006209133309698981
Ralph Weischedel,3:0.0061576652104275865
Brian Roark,3:0.006120972451970437
Christopher D. Manning,5:0.0059799147146004285
Koby Crammer,1:0.005923484229256781
Mark Steedman,6:0.005781435223700606
Ralph Grishman,3:0.00575739728629518
Sabine Buchholz,1:0.005686439312004138
Erwin Marsi,1:0.005686439312004138
Aravind K. Joshi,4:0.005579875820532526
E Jelinek,1:0.005568997601266873
Robert. E Mercer,1:0.005568997601266873
Lillian Lee,2:0.005411662038886321
Rens Bod,5:0.005388190107564432
Kenneth Church,2:0.005377719282107955
ohn Lafferty,1:0.005036118770828644
Eric Brill,5:0.00491688931300038
Kenneth R. Beesley,2:0.0048245757275179706
Richard Schwartz,2:0.004726459556754036
Christopher Manning,3:0.0046724769675844085
John Lafrerty,1:0.004599013293111729
Beatrice Santorini,2:0.004538884167219383
Martha Palmer,5:0.00451170613405381
Marie Meteer,2:0.004436465773713157
Yuji Matsumoto,4:0.004414907370008119
Sebastian Riedel,2:0.00429281557107214
James R Curran,4:0.004205436996246463
Tracy H. King,2:0.004174523485965012
Richard Crouch,2:0.004174523485965012
Naftali Tishby,1:0.004155847381075203
Jun’ichi Tsujii,4:0.004090783931994792
Jan Hajic,2:0.004049496591930533
Ferrara, Kathleen,1:0.004016164241617413
Whittemore, Greg,1:0.004016164241617413
Brunner, Hans,1:0.004016164241617413
Tomek Strzalkowski,2:0.00396845516027762
Dan Flickinger,3:0.003749909266061344
David Chiang,4:0.0037216418193884047
Anne Abeillé,1:0.0036654869690136527
Alexandra Kinyon,1:0.0036654869690136527
Lionel Clément,1:0.0036654869690136527
Taku Kudo,3:0.0036508920319680933
David McClosky,3:0.0036484363869086598
Sandra Kübler,1:0.003638951956960034
Deniz Yuret,1:0.003638951956960034
Daniel M.  Bikel,4:0.00361089610728929
Nizar Habash,3:0.0035402114197272067
Fernando C. N. Pereira ,2:0.003483861551956443
Thorsten Brants,2:0.003454447815978292
Yen-lu Chow,1:0.0033796061987405646
Sean Boisen,1:0.0033796061987405646
Dekai Wu,1:0.003364885744156329
Noah A. Smith,3:0.0033421976680030863
David M. Magerrnan,1:0.0032776826138904433
John T. III Maxwell,1:0.0032629821345366034
Detlef Prescher,4:0.003249936003717424
Fei Sha,1:0.0032244681178159374
Joshua Goodman,3:0.003197295612728549
Frederick Jelinek,2:0.0030782391019277414
Glenn Carroll,3:0.0030557075033360265
Alexander Clark,3:0.003018051277072378
Gertjan van Noord,4:0.003017136455776869
Rich Schwartz,1:0.0030104000459072033
Dawn MacLaughlin,1:0.0030104000459072033
Damaris Ayuso,1:0.0030104000459072033
Phil Harrison,1:0.002988343281020193
Judith Klavans,1:0.002988343281020193
C. Gdaniec,1:0.002988343281020193
Steven P. Abney,1:0.002988343281020193
Mark Y. Liberman,1:0.002988343281020193
D. Flickenger,1:0.002988343281020193
Owen Rambow,2:0.0029859702311603046
Romain Thibaux,1:0.0028909008052247333
Leon Barrett,1:0.0028909008052247333
Mario Scholz,1:0.0028402807016340583
Mona Diab,2:0.0027787031338257348
Yusuke Miyao,2:0.0027398118674942817
Kenji Sagae,3:0.0026170204382145374
Mark-Jan Nederhof,1:0.0026095092999615732
Yuan Ding,2:0.002590506651546238
Stephan Oepen,2:0.0025702103019671716
Xavier Carreras,2:0.0025413471522959417
Ciprian Chelba,1:0.0025019531568435064
Marie-Catherine de Marneffe,2:0.0024834432597548722
James Henderson,3:0.002466216474521234
Kiril Ribarov,1:0.0024490506594064118
David Carter,3:0.002415015191108017
Carl Weir,2:0.002386040475669521
Atro Voutilainen,3:0.0022771561854554893
Pasi Tapanainen,3:0.002277031953489244
Sharon Goldwater,2:0.0022517990046191415
Masaru Tomita,1:0.002247068848253102
Kadri Hacioglu,1:0.0022445478182114495
Takuya Matsuzaki,1:0.002162682424510979
Mitchell Marcus,2:0.0021575427404882694
Alex Lascarides,2:0.002143509566688976
Mahesh V. Chitrao,1:0.00210014233192939
Bernard Lang,1:0.0020795739440507134
Sylvie Billott,1:0.0020795739440507134
James Brooks,1:0.0020522683738780248
Edward Loper,1:0.0020520663053388483
Steven Bird,1:0.0020520663053388483
Norman K. Sondheimer,3:0.0020278542455614613
Svetoslav Marinov,1:0.0020211921010073117
Gül sen Eryi git,1:0.0020211921010073117
Robert Milne,1:0.0020112078469235774
John Blitzer,2:0.0019899744476489702
Anne Abeille,1:0.0019672040162916904
R.A. Sharman,1:0.0019030413649600757
R. Hercer,1:0.0019030413649600757
Tracy Holloway King,2:0.00187589887056282
Miriam Butt,2:0.00187589887056282
Raymond Mooney,2:0.0018696935287080326
Kristina Toutanova,1:0.0018652019003746697
Stuart Shieber,1:0.0018652019003746697
Bill MacCartney,1:0.0018578674883957583
James Curran,1:0.0018396058203253838
Liang Huang,2:0.0018343710580504208
Kevin Lerman,1:0.0018065056974020568
Raymond J. Mooney,2:0.0018031586144414242
Amruta Purandare,1:0.0017834996811959278
Ted Pedersen,1:0.0017834996811959278
Terry Koo,2:0.0017748778210169085
Frank Keller,2:0.0017646162812742403
Alexander M Rush,3:0.0017337336806056885
Heidi Fox,1:0.0017211994367144292
Claire Grover,2:0.001706300545515431
Kimmo Koskenniemi,2:0.0016857720136647886
Nigel Duffy,1:0.0016700531499081522
Yue Zhang,2:0.0016244215292841497
Aravind Joshi,2:0.001612403043120159
Christoph Tillmann,1:0.0016004459325241211
Wojciech Skut,1:0.0015892459156036224
George E. Heidorn,2:0.0015778249139643424
Karen Jensen,2:0.0015778249139643424
Franz Beil,2:0.001547867579318732
Kareem Darwish,1:0.0015137941147779312
Marcken, Carl G. de ,1:0.0015130527537123859
Michael Jordan,2:0.0014978848180598864
Percy Liang,2:0.0014978848180598864
Srinivas Bangalore,1:0.0014790052729462232
Ramesh Patil,1:0.0014716577849421641
Jeff Palmucci,1:0.0014260657278059538
Bruno Pouliquen,1:0.001398341803980593
Camelia Ignat,1:0.001398341803980593
Irina Temnikova,1:0.001398341803980593
Emilia Käsper,1:0.001398341803980593
Ralf Steinberger,1:0.001398341803980593
Fei Xia,2:0.0013951120024474786
Jethran Guinness,1:0.0013218094664476216
Alex Zamanian,1:0.0013218094664476216
Mehryar Mohri,1:0.0013080410257571783
Yuki Kato,1:0.0012981825948929558
Hiroyuki Seki,1:0.0012981825948929558
Tadao Kasami,1:0.0012981825948929558
Fred Karlsson,1:0.0012904956010205487
Philip J. Hayes,1:0.0012766338686163708
Jaime G. Carbonell,1:0.0012766338686163708
Ido Dagan,1:0.0012558146578111173
Thomas Griffiths,1:0.0012488661514771155
Eric Joanis,1:0.0012416930337954568
Suzanne Stevenson,1:0.0012416930337954568
Alon Lavie,1:0.0012157646949311884
Stan C. Kwasny,2:0.0012138034092877797
B. Srinivas,1:0.0012020120726351372
Ruifang Ge,1:0.0011962852253576794
Amit Dubey,1:0.0011957609453248678
Ann Copestake,1:0.0011796989640941728
Xiaojin Jerry Zhu,1:0.0011480957077075141
Walter Daelemans,1:0.0011441887889307354
Aitor Soroa,1:0.0011323421623881508
Eneko Agirre,1:0.0011323421623881508
John C. Henderson,1:0.0011083550212654264
David Sontag,2:0.0010890682020019164
Tommi Jaakkola,2:0.0010890682020019164
John Hale,1:0.001075738776858508
Jeff Reynar,1:0.001069944290498793
Keith Hall,1:0.0010531043607787212
Václav Novák,1:0.0010531043607787212
John T. Maxwell,1:0.0010393324307227008
Andrew Rosenberg,1:0.0010392071559978426
