Barbara J. Grosz,2:0.07310628460645963
Candace L. Sidner ,2:0.07102236542277679
Mary Ann Marcinkiewicz,2:0.03347870753526609
Martha Palmer,17:0.03214044243030545
Beatrice Santorini,1:0.029203464056287636
Mitchell P. Marcus,1:0.029203464056287636
Mats Rooth,1:0.02813673245709077
Donald Hindle,1:0.02813673245709077
Nancy Ide,14:0.026861254133298415
Bonnie Webber,7:0.022642478387715347
Laurent Romary,8:0.020310670069476257
Collin F. Baker,3:0.014044360033741403
Charles J. Fillmore,3:0.014044360033741403
John B. Lowe,1:0.012633334035869009
Paul Kingsbury,2:0.012596672118825088
Steven Bird,7:0.01158574648749952
Aravind Joshi,4:0.010886587984674774
Hwee Tou Ng,9:0.01055953314703232
Eleni Miltsakaki,3:0.009868011485590585
Daniel Gildea,2:0.009566959289665927
Chu-Ren Huang,2:0.009516396406003248
Keh-Jiann Chen,2:0.009516396406003248
Dan Cristea,1:0.009504350308846447
Rashmi Prasad,3:0.00902444430123326
Mitchell Marcus,2:0.007964396695349164
Rada Mihalcea,7:0.007670655081110572
Nianwen Xue,7:0.007488893797542671
David Yarowsky,2:0.007452315813968002
Massimo Poesio,6:0.006935262281252377
Daniel Marcu,4:0.0068750881910282415
Claudia Leacock,3:0.006677288346895631
Ann Bies,4:0.0065341583940273056
Adam Kilgarriff,6:0.006469736328722282
Thorsten Brants,3:0.006414476219614874
Aravind K. Joshi,3:0.006379523556899037
B. Merialdo,1:0.006004453691210683
J. Rosenzweig,3:0.005808106298141846
Xiaoyi Ma,3:0.00567394569679761
Haejoong Lee,3:0.00567394569679761
Steven J. DeRose ,1:0.005246311444285597
Hoa Trang Dang,3:0.00518411733553507
Shalom Lappin,1:0.005090931523049192
Herbert J. Leass,1:0.005090931523049192
Wojciech Skut,2:0.005039620577442135
Martin Chodorow,3:0.004938686771999085
Lluís Màrquez,4:0.004826560657029672
Lance Ramshaw,2:0.004621051474770854
Hian Beng Lee,1:0.004576638140640002
Eduard Hovy,2:0.004480810956735954
Rob Koeling,4:0.004357053435062965
Eric de La Clergerie,1:0.0043553993365406255
G. A. Miller,2:0.004313004721671085
Britta Schasberger,1:0.004275243478978456
Robert MacIntyre,1:0.004275243478978456
Mark Ferguson,1:0.004275243478978456
Karen Katz,1:0.004275243478978456
Grace Kim,1:0.004275243478978456
Nikhil Dinesh,2:0.00418309044846433
Alan Lee,2:0.00418309044846433
Pierre Sablayrolles,1:0.004149250333765835
Kazuaki Maeda,3:0.0041026245148101876
Owen Rambow,5:0.003971246882944762
Janyce Wiebe,3:0.0037524224695920216
Scott Weinstein,1:0.00372062051578393
Collin Baker,4:0.003711024187461825
Hamish Cunningham,2:0.003710811545577122
Yorick Wilks,2:0.003710811545577122
Ralph Weischedel,1:0.003689153216370708
Diana McCarthy,3:0.0036379426508597996
John Carroll,3:0.0036379426508597996
Eric Brill,3:0.003635337714767664
Aria Haghighi,4:0.0036299168042562813
Xavier Carreras,3:0.00359803954684388
Mark Liberman,3:0.0035746257016350483
Wolfgang Lezius,3:0.0035364223950981
Timothy Chklovski,2:0.0035247180348452352
Mary Ellen Okurovsky,1:0.003496789628952218
Lynn Carlson,1:0.003496789628952218
James H. Martin,2:0.0034780487205256353
Sameer S Pradhan,2:0.0034780487205256353
Felix Sasaki,2:0.003425423871270185
Thorsten Trippel,2:0.003425423871270185
Dafydd Gibbon,2:0.003425423871270185
Mihai Surdeanu,2:0.0033959638763597887
Livio Robaldo,1:0.0033381685386977334
Gary Simons,2:0.003274535862635194
Katrin Erk,3:0.0032362387013367662
Seth Kulick,4:0.003229328862040035
Rachel Szekely,3:0.0031702170202380833
Hans Uszkoreit,2:0.003151989227748924
Jan van Kuppevelt,1:0.003112882581738261
Kazauki Maeda,2:0.003110448585111135
Robert J. Gaizauskas,1:0.0031024964084512122
David Day,2:0.0030888172469625457
Kristina Toutanova,3:0.0030789237029222737
Adwait Ratnaparkhi,1:0.0030778551114423506
Catherine Macleod,3:0.0030708292677231147
Ralph Grishman,3:0.0030708292677231147
Renata Vieira,2:0.003011452926483087
Julie Weeds,2:0.0030014080169591464
Kenneth C. Litkowski,3:0.0027964614761855646
Peter Wittenburg,3:0.0027404212768025217
Wayne H Ward,1:0.002710516139475879
Dan Jurafsky,1:0.002710516139475879
Kadri Hacioglu,1:0.002710516139475879
Ido Dagan,1:0.0026781105022895316
Sean P. Engelson,1:0.0026781105022895316
Shari Landes,1:0.002673876196704227
Robert G. Thomas,1:0.002673876196704227
Amnon Meyers,2:0.002659606167740691
Roberto Navigli,3:0.002650938139790936
Bernardo Magnini,3:0.0026443574092000505
Simone Teufel,3:0.0026161371695740524
Rebecca Bruce,2:0.002599562524613621
Christopher Manning,2:0.002534303956145668
Helmut Schmid,3:0.0025190162485925907
Veronika Zielinska,2:0.0024666410095010457
Brian Young,2:0.0024666410095010457
Ruth Reeves,2:0.0024666410095010457
Kok-Wee Gan,1:0.002447617445884731
Keith Suderman,2:0.002429354430827491
Ellen Voorhees,1:0.0023642836252245458
Geoffrey Towell,1:0.0023642836252245458
Jan Štepánek,2:0.0023084039414201394
Kenneth W. Church,1:0.002271466438200301
William A. Gale,1:0.002271466438200301
Walter Daelemans,3:0.0022589707078825103
Andreas Haida,1:0.002249098193112059
Amir Zeldes,1:0.002249098193112059
Ines Fiedler,1:0.002249098193112059
Christian Chiarcos,1:0.002249098193112059
Mira Grubic,1:0.002249098193112059
Julia Ritz,1:0.002249098193112059
Katharina Hartmann,1:0.002249098193112059
Malte Zimmermann,1:0.002249098193112059
Anne Schwarz,1:0.002249098193112059
Orin Hargraves,2:0.002242151640251423
Jim Cowie,2:0.002239909416419759
Louise Guthrie,2:0.002239909416419759
Joe Guthrie,2:0.002239909416419759
Rebecca Passonneau,3:0.0022381834316546802
F. Chiou,2:0.002232992412672566
Joakim Nivre,2:0.002170165341710481
Sanda Harabagiu,1:0.002167442766173997
Paul Aarseth,1:0.002167442766173997
John Williams,1:0.002167442766173997
Sebastian Padó,2:0.002162661370042621
