Timothy Baldwin,5:0.057615910162633156
Suzanne Stevenson,4:0.043411892617677035
Colin Bannard,3:0.04286834638184217
Frank Smadja,1:0.04238591922871465
William Gale,1:0.038968698099081586
Donald Hindle,1:0.038968698099081586
Patrick Hanks,1:0.038968698099081586
Kenneth Church,1:0.038968698099081586
Aline Villavicencio,5:0.035579424933772266
Diana Zaiu Inkpen,1:0.02961588416630621
Graeme Hirst,1:0.02961588416630621
Afsaneh Fazly,3:0.024593831890507362
Eric Joanis,1:0.018818060727169676
Dominic Widdows,1:0.01798054497401614
Takaaki Tanaka,1:0.01798054497401614
Alex Lascarides,1:0.01783109972910723
Nicoletta Calzolari,2:0.014795701982698004
Paul Cook,2:0.014316397286904398
Darren Pearce,1:0.013337698439282217
Mark Lauer,1:0.012885288788299523
Stefan Evert,1:0.012818324101203937
Brigitte Krenn,1:0.012818324101203937
Yi Zhang,2:0.011266425197706098
Marco Idiart,2:0.011266425197706098
Valia Kordoni,2:0.011266425197706098
Daniel Jurafsky,1:0.010130808388629824
Patrick Schone,1:0.010130808388629824
Christiane Fellbaum ,1:0.009237955821425444
Remo Bindi,1:0.008465440849604485
Eugenie Giesbrecht,1:0.00835661453946162
Graham Katz,1:0.00835661453946162
Ivan A. Sag,1:0.007300035452385956
Francis Bond,1:0.007300035452385956
Dan Flickinger,1:0.007300035452385956
Ann Copestake,1:0.007300035452385956
Fabre Lambeau,1:0.007300035452385956
Junji Nagata,1:0.006981742986591966
Sayori Shimohata,1:0.006981742986591966
Toshiyuki Sugio,1:0.006981742986591966
Björn Tyrefors Hinnerich,1:0.006978588853562841
Dirk Heylent,1:0.006978588853562841
Marc Verhagent,1:0.006978588853562841
Qin Lu,1:0.006978588853562841
Wanyin Li,1:0.006978588853562841
Douglas Biber,1:0.006978588853562841
Andre Schenkt,1:0.006978588853562841
Wenjie Li,1:0.006978588853562841
Robert Östling,1:0.006978588853562841
André Smolentzov,1:0.006978588853562841
Erik Höglin,1:0.006978588853562841
Maria Lapata,1:0.006536675249293052
Pierrette Bouillon,1:0.006434997990666837
Katharina Boesefeldt,1:0.006434997990666837
Graham Russell,1:0.006434997990666837
Takenobu Tokunaga,1:0.006341036786074977
Yosiyuki Kobayasi,1:0.006341036786074977
Hozumi Tanaka,1:0.006341036786074977
Nancy Ide,1:0.006330261133093518
Ralph Grishman,1:0.006330261133093518
Catherine Macleod,1:0.006330261133093518
Charles J. Fillmore,1:0.006330261133093518
Alessandro Lenci,1:0.006330261133093518
A. ZAMPOLLI,1:0.006330261133093518
Frank Keller,1:0.006299389604812281
Mirella Lapata,1:0.006299389604812281
Toshifumi Tanabe,1:0.006265232664565858
Masahito Takahashi,1:0.006265232664565858
Kenji Yoshimura,1:0.006265232664565858
Kosho Shudo,1:0.006265232664565858
Aravind Joshi,1:0.006204452089838283
Sriram Venkatapathy,1:0.006204452089838283
Michael Johnston,1:0.006058950258621763
Federica Busa,1:0.006058950258621763
Hajime Uchino,1:0.005452075617260344
Satoshi Shirai,1:0.005452075617260344
Satoru Ikehara,1:0.005452075617260344
Carlos Ramisch,1:0.005321642681128311
Jeremy Nicholson,1:0.005293245190911242
Stan Szpakowicz,1:0.005205420934049281
Ken Barker,1:0.005205420934049281
Caroline Sporleder,1:0.005076491959775841
Linlin Li,1:0.005076491959775841
