G. A. Miller,3:0.028929654965983723
Kenneth Ward Church,1:0.025482600357283086
Patrick Hanks,1:0.025482600357283086
Ted Pedersen,2:0.022642644230189808
Siddharth Patwardhan,2:0.022642644230189808
Marti A. Hearst,1:0.022264116740961144
Marco Baroni,5:0.02208004046407392
Mirella Lapata,3:0.018601943595253967
Jason Michelizzi,1:0.01845110126577626
Michael R. Brent,4:0.01815161597161223
Hiyan Alshawi,2:0.014444172914456415
Alessandro Lenci,2:0.01305341705832264
Peter D. Turney,1:0.012770663749695038
Iryna Gurevych,5:0.012269230559075287
Nicoletta Calzolari,2:0.01078491058282165
Torsten Zesch,4:0.009301892444450809
Graeme Hirst ,1:0.009276777193032222
Alexander Budanitsky,1:0.009276777193032222
Jeff Mitchell,1:0.009146577244918944
Dominic Widdows,3:0.00900489377957743
David Yarowsky,1:0.008585322704329415
David L Waltz,1:0.007788504699769226
Kyoko Kanzaki,3:0.007381900177584616
Hitoshi Isahara,3:0.007381900177584616
Peter Turney,2:0.0072538930628106
Sebastian Padó,1:0.006841344001128965
Robert A. Amsler,1:0.006504367784096948
Surenda Prasad,1:0.0064338268095931305
Arun Kamar,1:0.0064338268095931305
Dharmendra Kanejiya,1:0.0064338268095931305
Monica Monachini,1:0.0061846641731106745
Gil Francopoulo,1:0.0061846641731106745
Claudia Soria,1:0.0061846641731106745
Nuria Bel,1:0.0061846641731106745
M. George,1:0.0061846641731106745
M. Pet,1:0.0061846641731106745
Gérard Huet,1:0.005689526291282827
John Barnden,1:0.005627592813559618
Sheila Glasbey,1:0.005627592813559618
Mark Lee,1:0.005627592813559618
Alan Wallington,1:0.005627592813559618
Massimo Poesio,2:0.005621439967910381
Thomas L. Griffiths,1:0.005568547716106318
Mark Johnson,1:0.005568547716106318
Sharon Goldwater,1:0.005568547716106318
Bran Boguraev,2:0.005345512281247248
Kiyotaka Uchimoto,2:0.005284031603418612
Ted Briscoe,2:0.005204295562241036
Dan Fass ,1:0.005116041950446868
Suzanne Stevenson,2:0.0051022531390460535
Francis Bond,2:0.005089720621846209
Emiliano Guevara,1:0.005013448254270178
Walter Daelemans,1:0.004914616311296384
Aitor Soroa,2:0.004690347298114068
Eneko Agirre,2:0.004690347298114068
Bernardo Magnini,1:0.004600246409710977
Antonietta Alonge,1:0.004600246409710977
Francesca Bertagna,1:0.004600246409710977
Adriana Roventini,1:0.004600246409710977
Changling Hao,1:0.004355574463398328
Qiang Dong,1:0.004355574463398328
Zhendong Dong,1:0.004355574463398328
Robert C. Berwick,2:0.004208434692145851
Martin S. Chodorow,1:0.004013962771329851
Roy J. Byrd,1:0.004013962771329851
George E. Heidorn,1:0.004013962771329851
Zachary J. Mason,1:0.003867068408762177
Dan Fass,1:0.0036705379655476936
Reinhard Rapp,1:0.003670024086759944
Roberto Zamparelli,1:0.003650779111426106
Stephen Clark,1:0.003484585490584546
David Weir,1:0.003484585490584546
Ellen Riloff,1:0.0034440660334886983
